Open,High,Low,Close,ticker,Date,DateInt
339.3399963378906,340.4800109863281,332.6300048828125,339.3299865722656,NFLX,3,20230406
52.779998779296875,53.59000015258789,51.540000915527344,51.56999969482422,SCHW,0,20230403
51.650001525878906,51.939998626708984,49.88999938964844,50.0,SCHW,1,20230404
49.06999969482422,49.41999816894531,48.36000061035156,48.869998931884766,SCHW,2,20230405
48.79999923706055,49.7400016784668,48.56999969482422,49.349998474121094,SCHW,3,20230406
33.81999969482422,34.68000030517578,32.22999954223633,33.869998931884766,AI,0,20230403
31.90999984741211,32.0,24.152000427246094,24.950000762939453,AI,1,20230404
24.030000686645508,24.889999389648438,20.5,21.09000015258789,AI,2,20230405
21.15999984741211,23.860000610351562,20.399999618530273,22.84000015258789,AI,3,20230406
343.239990234375,351.5400085449219,342.29998779296875,350.739990234375,LLY,0,20230403
